iter	Passed	Remaining
0	1	108
1	1	85
2	2	74
3	2	65
4	3	63
5	3	60
6	4	58
7	5	57
8	5	57
9	6	57
10	7	56
11	7	55
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	48
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	31	29
51	31	29
52	32	28
53	32	28
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	24
61	38	23
62	39	22
63	39	22
64	40	21
65	40	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	14
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
