iter	Passed	Remaining
0	141	141672
1	142	71044
2	142	47504
3	143	35729
4	144	28661
5	144	23945
6	145	20581
7	145	18069
8	146	16101
9	146	14527
10	147	13238
11	147	12164
12	148	11259
13	148	10487
14	149	9815
15	150	9225
16	150	8711
17	151	8247
18	151	7831
19	152	7457
20	152	7119
21	153	6813
22	153	6532
23	154	6278
24	154	6043
25	155	5824
26	156	5622
27	156	5437
28	157	5261
29	157	5098
30	158	4945
31	158	4801
32	159	4666
33	159	4539
34	160	4421
35	160	4310
36	161	4204
37	162	4104
38	162	4007
39	163	3914
40	163	3826
41	164	3743
42	164	3664
43	165	3587
44	165	3515
45	166	3446
46	166	3382
47	167	3320
48	168	3261
49	168	3204
50	169	3148
51	169	3094
52	170	3042
53	170	2993
54	171	2944
55	171	2897
56	172	2853
57	172	2809
58	173	2769
59	174	2728
60	174	2690
61	175	2652
62	175	2614
63	176	2578
64	176	2543
65	177	2509
66	177	2475
67	178	2444
68	179	2415
69	179	2386
70	180	2364
71	181	2336
72	181	2309
73	182	2282
74	182	2255
75	183	2229
76	183	2204
77	184	2180
78	185	2157
79	185	2134
80	186	2111
81	186	2090
82	187	2066
83	187	2045
84	188	2024
85	188	2003
86	189	1983
87	189	1964
88	190	1944
89	190	1926
90	191	1909
91	191	1892
92	192	1874
93	192	1858
94	193	1841
95	193	1825
96	194	1808
97	194	1793
98	195	1778
99	196	1764
100	196	1749
101	197	1736
102	197	1722
103	198	1709
104	199	1696
105	199	1683
106	200	1670
107	200	1657
108	201	1645
109	201	1633
110	202	1621
111	202	1609
112	203	1597
113	204	1586
114	204	1575
115	205	1564
116	205	1552
117	206	1541
118	206	1530
119	207	1519
120	207	1509
121	208	1498
122	208	1488
123	209	1478
124	209	1468
125	210	1459
126	210	1448
127	211	1439
128	211	1430
129	212	1421
130	212	1412
131	213	1403
132	213	1394
133	214	1385
134	214	1376
135	215	1368
136	215	1360
137	216	1351
138	216	1343
139	217	1336
140	218	1328
141	218	1319
142	218	1311
143	219	1304
144	219	1296
145	220	1288
146	220	1281
147	221	1274
148	221	1267
149	222	1260
150	223	1253
151	223	1247
152	224	1240
153	224	1233
154	225	1227
155	225	1220
156	226	1214
157	226	1207
158	227	1201
159	227	1194
160	227	1187
161	228	1181
162	229	1176
163	229	1170
164	230	1165
165	230	1159
166	231	1153
167	231	1148
168	232	1142
169	232	1137
170	233	1131
171	233	1126
172	234	1120
173	235	1115
174	235	1110
175	236	1105
176	236	1100
177	237	1095
178	237	1090
179	238	1085
180	238	1080
181	239	1075
182	239	1070
183	240	1066
184	240	1061
185	241	1056
186	242	1052
187	242	1047
188	243	1043
189	243	1038
190	244	1034
191	244	1029
192	245	1025
193	245	1020
194	246	1016
195	246	1012
196	247	1007
197	247	1003
198	248	999
199	248	995
200	249	990
201	249	987
202	250	983
203	250	979
204	251	975
205	251	971
206	252	967
207	252	963
208	253	959
209	254	956
210	254	952
211	255	948
212	255	945
213	256	941
214	256	937
215	257	934
216	257	930
217	258	926
218	258	922
219	259	919
220	259	916
221	260	912
222	261	909
223	261	906
224	262	902
225	262	899
226	263	896
227	263	892
228	264	889
229	264	886
230	265	882
231	265	879
232	266	876
233	266	873
234	267	870
235	267	866
236	268	863
237	268	860
238	269	857
239	269	854
240	270	851
241	270	847
242	271	844
243	271	841
244	272	839
245	272	836
246	273	833
247	273	830
248	274	827
249	274	824
250	275	822
251	276	819
252	276	816
253	277	813
254	277	810
255	278	807
256	278	805
257	279	802
258	279	800
259	280	797
260	280	794
261	281	792
262	281	789
263	282	786
264	282	784
265	283	781
266	283	779
267	284	776
268	284	774
269	285	771
270	285	769
271	286	766
272	286	764
273	287	761
274	287	759
275	288	756
276	288	754
277	289	751
278	289	749
279	290	746
280	290	744
281	291	742
282	292	739
283	292	737
284	293	735
285	293	732
286	294	730
287	294	728
288	295	725
289	295	723
290	296	721
291	296	718
292	297	716
293	297	714
294	298	712
295	298	710
296	299	708
297	299	706
298	300	703
299	300	701
300	301	699
301	301	697
302	302	695
303	302	693
304	303	690
305	303	688
306	304	686
307	304	684
308	305	682
309	305	680
310	306	678
311	306	676
312	307	674
313	307	672
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	310	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	650
325	313	649
326	314	647
327	314	645
328	315	643
329	315	641
330	316	639
331	317	637
332	317	635
333	318	634
334	318	632
335	319	630
336	319	628
337	320	627
338	320	625
339	321	623
340	321	621
341	322	619
342	322	618
343	323	616
344	323	614
345	324	612
346	324	611
347	325	609
348	325	607
349	326	605
350	326	603
351	327	602
352	327	600
353	328	598
354	328	597
355	329	595
356	329	593
357	330	592
358	330	590
359	331	588
360	331	587
361	332	585
362	332	583
363	333	582
364	333	580
365	334	578
366	334	577
367	335	575
368	335	574
369	336	572
370	336	570
